nom,commune,proprietaire,gestionnaire,voieentree,voiesortie,avancement,typeparking,situation,parkingtempsreel,gabarit,capacite,capacite2rm,capacitevelo,capaciteautopartage,capacitepmr,usage,vocation,reglementation,fermeture,codetype,gid,gml_id,longitude,latitude
Parking Hôtel de Ville,Lyon 1 er,GRAND LYON,LPA,Quai Jean Moulin,Quai Jean Moulin,Existant,Parc concédé GL,En ouvrage (sous-sol),1,1.9,208,7,64,4,13,Mixte,Mixte,Payant,Ouvert 24h/24h,1,928,pvo_patrimoine_voirie.pvoparking.928,4.837471,45.76848099905716
Parking Terreaux,Lyon 1 er,GRAND LYON,LPA,Rue d'Algérie,Rue Ste Marie des Terreaux,Existant,Parc concédé GL,En ouvrage (sous-sol),1,1.9,641,174,118,6,13,Mixte,Mixte,Payant,Ouvert 24h/24h,1,30,pvo_patrimoine_voirie.pvoparking.30,4.832493,45.76759399905715
Parking Tables Claudiennes,Lyon 1 er,GRAND LYON,LPA,Rue des Tables Claudiennes,Rue des Tables Claudiennes,Existant,Parc concédé GL,En ouvrage (sous-sol),0,2.0,63,12,10,0,13,Réservé abonnés,Résidentielle,Payant,Ouvert 24h/24h,1,335,pvo_patrimoine_voirie.pvoparking.335,4.832546,45.770782999057154
Parking Rozier,Lyon 1 er,GRAND LYON,PARTICULIER,Rue de l'Abbé Rozier,Rue de l'Abbé Rozier,Existant,Parc concédé GL,En ouvrage (sous-sol),0,2.0,42,0,0,0,13,Réservé abonnés,Résidentielle,Payant,Ouvert 24h/24h,1,336,pvo_patrimoine_voirie.pvoparking.336,4.833904,45.769647999057135
Parking Récamier,Lyon 2 ème,GRAND LYON,SAJR,Quai Gailleton,Quai Gailleton,Existant,Parc concédé GL,En ouvrage (sous-sol),0,2.0,176,0,0,0,13,Mixte,Mixte,Payant,Ouvert 24h/24h,1,31,pvo_patrimoine_voirie.pvoparking.31,4.830952,45.74951899905713
Parking Gare Perrache La Confluence,Lyon 2 ème,GRAND LYON,Q PARK,Rue Smith,Rue Smith,Existant,Parc concédé GL,En ouvrage (sous-sol),1,1.9,649,0,0,0,13,Mixte,Mixte,Payant,Ouvert 24h/24h,1,101,pvo_patrimoine_voirie.pvoparking.101,4.826044,45.74711699905713
Parking Bourse,Lyon 2 ème,GRAND LYON,LPA,Rue de la Bourse,Rue de la Bourse,Existant,Parc concédé GL,En ouvrage (sous-sol),1,1.8,500,47,0,0,1,Réservé abonnés,Mixte,Payant,Ouvert 24h/24h,1,342,pvo_patrimoine_voirie.pvoparking.342,4.836776,45.763882999057145
Parking Bellecour,Lyon 2 ème,GRAND LYON,INDIGO,Place Bellecour,Place Bellecour,Existant,Parc concédé GL,En ouvrage (sous-sol),1,1.9,478,0,0,0,1,Mixte,Mixte,Payant,Ouvert 24h/24h,1,846,pvo_patrimoine_voirie.pvoparking.846,4.829835,45.757529999057134
Parking Cordeliers,Lyon 2 ème,GRAND LYON,LPA,Rue Salès/Rue Claudia,Rue Salès/Rue Claudia,Existant,Parc concédé GL,En ouvrage (en élévation),1,1.8,778,11,84,4,1,Mixte,Mixte,Payant,Ouvert 24h/24h,1,382,pvo_patrimoine_voirie.pvoparking.382,4.83723,45.764641999057154
Parking Perrache 1,Lyon 2 ème,GRAND LYON,EFFIA,Cours de Verdun,Cours de Verdun,Existant,Parc concédé GL,En ouvrage (en élévation),1,2.0,452,13,0,2,1,Mixte,Mixte,Payant,Ouvert 24h/24h,1,379,pvo_patrimoine_voirie.pvoparking.379,4.82763,45.74973799905713
Parking République,Lyon 2 ème,GRAND LYON,LPA,Rue Childebert,Rue Childebert,Existant,Parc concédé GL,En ouvrage (sous-sol),1,1.9,783,28,30,2,1,Mixte,Mixte,Payant,Ouvert 24h/24h,1,79,pvo_patrimoine_voirie.pvoparking.79,4.836635,45.76014899905714
Parking Célestins,Lyon 2 ème,GRAND LYON,LPA,Rue Gaspard André,Rue Charles Dullin,Existant,Parc concédé GL,En ouvrage (sous-sol),1,1.9,411,40,55,2,1,Mixte,Mixte,Payant,Ouvert 24h/24h,1,28,pvo_patrimoine_voirie.pvoparking.28,4.831163,45.759829999057146
Parking Antonin Poncet,Lyon 2 ème,GRAND LYON,LPA,Quai Gailleton,Quai Gailleton,Existant,Parc concédé GL,En ouvrage (sous-sol),1,1.8,709,24,56,3,1,Mixte,Mixte,Payant,Ouvert 24h/24h,1,29,pvo_patrimoine_voirie.pvoparking.29,4.835707,45.75628599905715
Parking Saint Antoine,Lyon 2 ème,GRAND LYON,LPA,Quai St Antoine/Quai Célestins,Quai St Antoine,Existant,Parc concédé GL,En ouvrage (sous-sol),1,1.8,812,0,0,3,1,Mixte,Mixte,Payant,Ouvert 24h/24h,1,930,pvo_patrimoine_voirie.pvoparking.930,4.831474,45.76485799905715
